Stock Index,Index,Industry,VWAP,General Index,NAV,P/E Ratio,Volumes Traded,Inventory Turnover,Covid Impact (Beta),Tracking Error,Dollar Exchange Rate,Put-Call Ratio,P/B Ratio,Stock Price
AA1,NYSE,Real Estate,700.29,12765.84,32.38,45.35,1208599,5.05,-0.43,0.052,1,0.61,9.2,156.987851519278
AA2,NYSE,Information Tech,214.52,12765.84,33.25,170.56,13753356,3.1,0.23,0.0164,1,,6.91,560.859621579371
AA3,NYSE,Information Tech,943.42,12765.84,88.27,143.58,6892003,7.7,0.23,0.0396,1,,6.09,1279.73287387363
AA4,BSE,Materials,828.13,38182.08,73.66,151.76,8316793,4.8,0.03,0.0431,74.9,1.11,5.6,1121.78763157292
AA5,S&P 500,Real Estate,,3351.28,23.79,,3943312,8.06,-0.43,0.0244,1,1.07,9.46,382.962534018818
AA6,BSE,Materials,259.61,38182.08,10.63,153.05,19263869,8.04,0.03,0.0344,74.9,1.15,5.51,158.687016181507
AA7,NYSE,Healthcare,635.37,12765.84,67.21,29.63,7086103,5.87,0.78,0.0186,1,0.75,8.6,209.645869560293
AA8,NSE,Real Estate,187.43,11270.15,,89.69,,,-0.43,0.037,74.9,0.78,6.73,861.48126903678
AA9,NSE,Materials,950.81,11270.15,31.5,159.58,1361019,2.72,0.03,0.0534,74.9,1.22,6.46,514.240810705173
AA10,JSE,Healthcare,961.02,55722,72.16,29.61,14385395,7.87,0.78,0.0292,,1.21,4.42,239.085804304255
AA11,JSE,Materials,,55722,60.53,88.2,14616628,3.57,0.03,0.0191,,0.91,3.01,535.610672429142
AA12,S&P 500,Energy,,3351.28,88.09,55.56,7993015,,0.11,0.0544,,0.93,8.79,505.299044352208
AA13,S&P 500,Information Tech,,3351.28,19.25,55.37,12877370,7.07,0.23,0.0521,,0.68,6.47,111.552414326888
AA14,NSE,Information Tech,,11270.15,65.79,45.53,18655545,5.06,0.23,0.0608,,1.26,8.54,305.39267431476
AA15,S&P 500,Information Tech,432.73,3351.28,87.42,112.46,1705228,3.63,0.23,0.037,,0.77,5.66,983.220721176397
